1,1,0,0
2,2,32,43
3,3,56,67
4,4,80,91
5,5,104,115
6,6,128,139
7,7,152,159
8,1,0,0
9,2,200,211
10,3,224,235
11,4,248,259
12,5,272,283
13,6,296,307
14,7,320,327
15,1,0,0
16,2,368,379
17,3,392,403
18,4,416,427
19,5,440,451
20,6,464,475
21,7,488,495
22,1,0,0
23,2,536,547
24,3,560,571
25,4,584,595
26,5,608,619
27,6,632,643
28,7,656,663
29,1,0,0
30,2,704,715
31,3,728,739
32,4,752,763
33,5,776,787
34,6,800,811
35,7,824,831
36,1,0,0
37,2,872,883
38,3,896,907
39,4,920,931
40,5,944,955
41,6,968,979
42,7,992,999
43,1,0,0
44,2,1040,1051
45,3,1064,1075
46,4,1088,1099
47,5,1112,1123
48,6,1136,1147
49,7,1160,1167
50,1,0,0
51,2,1208,1219
52,3,1232,1243
53,4,1256,1267
54,5,1280,1291
55,6,1304,1315
56,7,1328,1335
57,1,0,0
58,2,1376,1387
59,3,1400,1411
60,4,1424,1435
61,5,1448,1459
62,6,1472,1483
63,7,1496,1503
64,1,0,0
65,2,1544,1555
66,3,1568,1579
67,4,1592,1603
68,5,1616,1627
69,6,1640,1651
70,7,1664,1671
71,1,0,0
72,2,1712,1723
73,3,1736,1747
74,4,1760,1771
75,5,1784,1795
76,6,1808,1819
77,7,1832,1839
78,1,0,0
79,2,1880,1891
80,3,1904,1915
81,4,1928,1939
82,5,1952,1963
83,6,1976,1987
84,7,2000,2007
85,1,0,0
86,2,2048,2059
87,3,2072,2083
88,4,2096,2107
89,5,2120,2131
90,6,2144,2155
91,7,2168,2175
92,1,0,0
93,2,2216,2227
94,3,2240,2251
95,4,2264,2275
96,5,2288,2299
97,6,2312,2323
98,7,2336,2343
99,1,0,0
100,2,2384,2395
101,3,2408,2419
102,4,2432,2443
103,5,2456,2467
104,6,2480,2491
105,7,2504,2511
106,1,0,0
107,2,2552,2563
108,3,2576,2587
109,4,2600,2611
110,5,2624,2635
111,6,2648,2659
112,7,2672,2679
113,1,0,0
114,2,2720,2731
115,3,2744,2755
116,4,2768,2779
117,5,2792,2803
118,6,2816,2827
119,7,2840,2847
120,1,0,0
121,2,2888,2899
122,3,2912,2923
123,4,2936,2947
124,5,2960,2971
125,6,2984,2995
126,7,3008,3015
127,1,0,0
128,2,3056,3067
129,3,3080,3091
130,4,3104,3115
131,5,3128,3139
132,6,3152,3163
133,7,3176,3183
134,1,0,0
135,2,3224,3235
136,3,3248,3259
137,4,3272,3283
138,5,3296,3307
139,6,3320,3331
140,7,3344,3351
141,1,0,0
142,2,3392,3403
143,3,3416,3427
144,4,3440,3451
145,5,3464,3475
146,6,3488,3499
147,7,3512,3519
148,1,0,0
149,2,3560,3571
150,3,3584,3595
151,4,3608,3619
152,5,3632,3643
153,6,3656,3667
154,7,3680,3687
155,1,0,0
156,2,3728,3739
157,3,3752,3763
158,4,3776,3787
159,5,3800,3811
160,6,3824,3835
161,7,3848,3855
162,1,0,0
163,2,3896,3907
164,3,3920,3931
165,4,3944,3955
166,5,3968,3979
167,6,3992,4003
168,7,4016,4023
169,1,0,0
170,2,4064,4075
171,3,4088,4099
172,4,4112,4123
173,5,4136,4147
174,6,4160,4171
175,7,4184,4191
176,1,0,0
177,2,4232,4243
178,3,4256,4267
179,4,4280,4291
180,5,4304,4315
181,6,4328,4339
182,7,4352,4359
183,1,0,0
184,2,4400,4411
185,3,4424,4435
186,4,4448,4459
187,5,4472,4483
188,6,4496,4507
189,7,4520,4527
190,1,0,0
191,2,4568,4579
192,3,4592,4603
193,4,4616,4627
194,5,4640,4651
195,6,4664,4675
196,7,4688,4695
197,1,0,0
198,2,4736,4747
199,3,4760,4771
200,4,4784,4795
201,5,4808,4819
202,6,4832,4843
203,7,4856,4863
204,1,0,0
205,2,4904,4915
206,3,4928,4939
207,4,4952,4963
208,5,4976,4987
209,6,5000,5011
210,7,5024,5031
211,1,0,0
212,2,5072,5083
213,3,5096,5107
214,4,5120,5131
215,5,5144,5155
216,6,5168,5179
217,7,5192,5199
218,1,0,0
219,2,5240,5251
220,3,5264,5275
221,4,5288,5299
222,5,5312,5323
223,6,5336,5347
224,7,5360,5367
225,1,0,0
226,2,5408,5419
227,3,5432,5443
228,4,5456,5467
229,5,5480,5491
230,6,5504,5515
231,7,5528,5535
232,1,0,0
233,2,5576,5587
234,3,5600,5611
235,4,5624,5635
236,5,5648,5659
237,6,5672,5683
238,7,5696,5703
239,1,0,0
240,2,5744,5755
241,3,5768,5779
242,4,5792,5803
243,5,5816,5827
244,6,5840,5851
245,7,5864,5871
246,1,0,0
247,2,5912,5923
248,3,5936,5947
249,4,5960,5971
250,5,5984,5995
251,6,6008,6019
252,7,6032,6039
253,1,0,0
254,2,6080,6091
255,3,6104,6115
256,4,6128,6139
257,5,6152,6163
258,6,6176,6187
259,7,6200,6207
260,1,0,0
261,2,6248,6259
262,3,6272,6283
263,4,6296,6307
264,5,6320,6331
265,6,6344,6355
266,7,6368,6375
267,1,0,0
268,2,6416,6427
269,3,6440,6451
270,4,6464,6475
271,5,6488,6499
272,6,6512,6523
273,7,6536,6543
274,1,0,0
275,2,6584,6595
276,3,6608,6619
277,4,6632,6643
278,5,6656,6667
279,6,6680,6691
280,7,6704,6711
281,1,0,0
282,2,6752,6763
283,3,6776,6787
284,4,6800,6811
285,5,6824,6835
286,6,6848,6859
287,7,6872,6879
288,1,0,0
289,2,6920,6931
290,3,6944,6955
291,4,6968,6979
292,5,6992,7003
293,6,7016,7027
294,7,7040,7047
295,1,0,0
296,2,7088,7099
297,3,7112,7123
298,4,7136,7147
299,5,7160,7171
300,6,7184,7195
301,7,7208,7215
302,1,0,0
303,2,7256,7267
304,3,7280,7291
305,4,7304,7315
306,5,7328,7339
307,6,7352,7363
308,7,7376,7383
309,1,0,0
310,2,7424,7435
311,3,7448,7459
312,4,7472,7483
313,5,7496,7507
314,6,7520,7531
315,7,7544,7551
316,1,0,0
317,2,7592,7603
318,3,7616,7627
319,4,7640,7651
320,5,7664,7675
321,6,7688,7699
322,7,7712,7719
323,1,0,0
324,2,7760,7771
325,3,7784,7795
326,4,7808,7819
327,5,7832,7843
328,6,7856,7867
329,7,7880,7887
330,1,0,0
331,2,7928,7939
332,3,7952,7963
333,4,7976,7987
334,5,8000,8011
335,6,8024,8035
336,7,8048,8055
337,1,0,0
338,2,8096,8107
339,3,8120,8131
340,4,8144,8155
341,5,8168,8179
342,6,8192,8203
343,7,8216,8223
344,1,0,0
345,2,8264,8275
346,3,8288,8299
347,4,8312,8323
348,5,8336,8347
349,6,8360,8371
350,7,8384,8391
351,1,0,0
352,2,8432,8443
353,3,8456,8467
354,4,8480,8491
355,5,8504,8515
356,6,8528,8539
357,7,8552,8559
358,1,0,0
359,2,8600,8611
360,3,8624,8635
361,4,8648,8659
362,5,8672,8683
363,6,8696,8707
364,7,8720,8727
365,1,0,0
366,2,8768,8779
367,3,8792,8803
368,4,8816,8827
369,5,8840,8851
370,6,8864,8875
371,7,8888,8895
372,1,0,0
373,2,8936,8947
374,3,8960,8971
375,4,8984,8995
376,5,9008,9019
377,6,9032,9043
378,7,9056,9063
379,1,0,0
380,2,9104,9115
381,3,9128,9139
382,4,9152,9163
383,5,9176,9187
384,6,9200,9211
385,7,9224,9231
386,1,0,0
387,2,9272,9283
388,3,9296,9307
389,4,9320,9331
390,5,9344,9355
